date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:12	39657/39657	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:12%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_ostatni.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_ostatni.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:12	18358/18358	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:13%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_artefakty.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_artefakty.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:12	18256/18256	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:13%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_relikvie.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_relikvie.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:13	17018/17018	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:13%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_bonusy.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_bonusy.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:13	27249/27249	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:13%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_svitky.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_svitky.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:13	11544/11544	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:14%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla_seznam.php	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzla_seznam.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:13	12120/12120	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:14%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=ohne	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzla2c90.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:14	12098/12098	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:14%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=vzduchu	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzla7c76.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:14	12337/12337	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:14%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=vody	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzlaeccb.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:14	12259/12259	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:14%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=zeme	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzla8b1c.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:14	13543/13543	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:15%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=ducha	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzlac5ea.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:14	12665/12665	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:15%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=mysli	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzlac5ce.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:15	12076/12076	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:15%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=tela	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzla18b5.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
12:34:15	12301/12301	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2010:34:15%20GMT	https://www.svetmightandmagic.cz/mmvi/mmvi_kouzla.php?magie=bila	C:/Users/roman.makudera/Downloads/cz-mmvi/www.svetmightandmagic.cz/mmvi/mmvi_kouzlaee60.html	(from https://www.svetmightandmagic.cz/mmvi/mmvi_index.php)
